Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-13,2022-07-21,Final,300,15.0,Rs.15.0000 per share(300%)Final Dividend,TECHM,05/13/2022,07/21/2022
2022-05-14,2022-07-21,Special,300,15.0,Rs.15.0000 per share(300%)Special Dividend,TECHM,05/14/2022,07/21/2022
2021-10-25,2021-02-11,Special,300,15.0,Rs.15.0000 per share(300%)Special Dividend,TECHM,10/25/2021,02/11/2021
2021-04-26,2021-07-23,Final,300,15.0,Rs.15.0000 per share(300%)Final Dividend,TECHM,04/26/2021,07/23/2021
2021-04-27,2021-07-23,Special,300,15.0,Rs.15.0000 per share(300%)Special Dividend,TECHM,04/27/2021,07/23/2021
2020-10-19,2020-10-29,Interim,0,0.0,Interim Dividend,TECHM,10/19/2020,10/29/2020
2020-10-19,2020-10-29,Special,300,15.0,Rs. 15.0000 per share (300%) Special Dividend,TECHM,10/19/2020,10/29/2020
2020-04-30,2020-07-23,Final,100,5.0,Rs.5.0000 per share(100%)Final Dividend,TECHM,04/30/2020,07/23/2020
2020-02-18,2020-02-03,Interim,200,10.0,Rs.10.0000 per share(200%)Interim Dividend,TECHM,02/18/2020,02/03/2020
2019-05-21,2019-07-25,Final,280,14.0,Rs.14.0000 per share(280%)Dividend,TECHM,05/21/2019,07/25/2019
2018-05-25,2018-07-26,Final,280,14.0,Rs.14.0000 per share(280%)Dividend,TECHM,05/25/2018,07/26/2018
2017-05-26,2017-07-27,Final,180,9.0,Rs.9.0000 per share(180%)Dividend,TECHM,05/26/2017,07/27/2017
2016-05-23,2016-07-28,Special,120,6.0,Rs.6.0000 per share(120%)Special Dividend,TECHM,05/23/2016,07/28/2016
2016-05-24,2016-07-28,Final,120,6.0,Rs.6.0000 per share(120%)Dividend,TECHM,05/24/2016,07/28/2016
2015-05-26,2015-07-23,Final,120,6.0,Rs.6.0000 per share(120%)Dividend,TECHM,05/26/2015,07/23/2015
2014-05-14,2014-07-25,Final,200,20.0,Rs.20.0000 per share(200%)Dividend,TECHM,05/14/2014,07/25/2014
2013-08-08,2013-09-19,Final,50,5.0,Rs.5.0000 per share(50%)Dividend,TECHM,08/08/2013,09/19/2013
2012-05-23,2012-02-08,Final,40,4.0,,TECHM,05/23/2012,02/08/2012
2011-05-26,2011-04-08,Final,40,4.0,,TECHM,05/26/2011,04/08/2011
2010-04-30,2010-07-21,Final,35,3.5,,TECHM,04/30/2010,07/21/2010
2008-10-13,2008-10-27,Interim,40,4.0,,TECHM,10/13/2008,10/27/2008
2008-05-20,2008-07-17,Final,55,5.5,,TECHM,05/20/2008,07/17/2008
2007-08-03,2007-03-21,Interim,15,1.5,,TECHM,08/03/2007,03/21/2007
